"","Municipio","Nombre.Comercial","Subcategoria","Direccion.Comercial","Correo.Electronico","Habitaciones","Camas","Empleados","Precio"
"1001","SOGAMOSO","HOTEL CACIQUE PLAZA II","HOTEL","CL 8  20A 41","hotelcaciqueplazasogamoso@gmail.com",29,29,1,43517
"1005","VILLA DE LEYVA","HOTEL LA ALHAMBRA","HOTEL","KILOMETRO 1 VIA FUNDADORES","nexusholdingsas@gmail.com",14,14,3,53826
"1006","PUERTO BOYACA","HOTEL CASA BLANCA PALACE","HOTEL","CR 4 13 01 ESQUINA PISO 2","casablancahotelpalace@gmail.com",16,26,1,42262
"1010","VILLA DE LEYVA","HOTEL AQUA VITAE","HOTEL","CALLE 8 10  196","dianacarrillof@hotmail.com",20,20,5,67350
"1011","TIBASOSA","HOSPEDAJE CASA FLORALIA","HOTEL","CL 4 5 20","hotelcasafloralia@gmail.com",8,24,1,61852
"1018","CUCAITA","CAMINO A LA VILLA CUCAITA HOTEL","HOTEL","CARRERA 7  7 67","sandrappuentes@gmail.com",15,31,1,56177
"1020","VILLA DE LEYVA","VILLA DE LEYVA PLAZA HOTEL BOUTIQUE","HOTEL","CALLE 8  10 95","villadeleyvaplazahotelboutique@gmail.com",7,14,1,58534
"1028","VILLA DE LEYVA","HOTEL EL EMBRUJO","HOTEL","CALLE 14  8 - 25","juanfernandoacevedo@hotmail.com",6,6,1,59838
"1034","AQUITANIA (PUEBLO VIEJO)","HOTELROCASLINDAS 1945","HOTEL","KM 26 VIA SOGAMOSO AQUITANIA","hotelrocaslindas1a@gmail.com",9,26,1,52788
"1038","PAIPA","HOTEL PAIPA REAL INN","HOTEL","CL 26 19 16","hotelpaipareal@gmail.com",24,28,1,53106
"1041","TUNJA","HOTEL MI GLORIA","HOTEL","CARRERA 2 ESTE 23 15","carjim.27@gmail.com",12,15,1,47529
"1045","CHIQUINQUIRA","HOSPEDAJE AUGUSTO","HOTEL","CALLE 16  7A 13","acevedo2868@hotmail.com",10,19,3,59184
"1051","SAN EDUARDO","CASA HOTEL LAS PALMAS SAN EDUARDO","HOTEL","VEREDA BOMBITA","nellyp58r@yahoo.com",10,12,1,46869
"1068","VENTAQUEMADA","HOTEL AGUA LUNA","HOTEL","KM 3 VIA BOGOTA TUNJA - SUPATA","pao_rojas2407@htmail.com",12,12,1,47765
"1071","NOBSA","CASA BERTHA HOTEL Y SERVICIOS","HOTEL","CL 4 11 13","wilsoncely@yahoo.es",12,20,1,56316
"1079","TUNJA","HOTEL EL CID PLAZA PREMIUM","HOTEL","CARRERA 10 20 78 P2","tourismyossa@gmail.com",17,34,4,62551
"1081","SOGAMOSO","HOTEL SILOE SALUDABLE DESCANSO","HOTEL","CR 2  7  41 BARRIO NAZARETH","hotelsiloe.nobsa@gmail.com",10,20,1,45461
"1082","TUTA","HOTEL VILLA NATALIA","HOTEL","VDA RIO DE PIEDRAS","lauracarranza00@gmail.com",14,18,1,48126
"1089","ZETAQUIRA","HOTEL SAN FERNANDO ZETAQUIRA","HOTEL","CARRERA 3  4 42","hotelsanfernandozetaquira@gmail.com",20,30,1,49398
"1090","MONIQUIRA","HOTEL CIUDAD DULCE","HOTEL","CARRERA 3 16 83","eidymorales89@gmail.com",19,27,1,43554
"1091","PANQUEBA","HOTEL Y RESTAURANTE EL PARAISO DE PANQUEBA","HOTEL","CL 4  2 81","rv242347@gmail.com",5,5,1,56263
"1100","SANTANA","ECOHOTEL SANTA JUANA","HOTEL","VEREDA SAN EMIGDIO SECTOR LAS CANARIAS","jahnalexramirez@gmail.com",6,20,2,55018
"1102","CUBARA","HOTEL CENTRAL LOS AMIGOS","HOTEL","CALLE 2 NRO. 5 - 27 BARRIO EL JARDIN","hotellosamigos1995@gmail.com",7,7,1,44717
"1106","TIBASOSA","HOTEL MARQUESA DE PINARES","HOTEL","VD CENTRO CL 4","marquesadepinareshotelboutique@gmail.com",8,12,1,61483
"1108","CHIQUINQUIRA","HOTEL MONTE CARLO E Y M","HOTEL","CALLE 9 8 76","lx.villamil@gmail.com",12,18,1,53239
"1111","DUITAMA","HOTEL CHAYANY","HOTEL","CL 18   18   29","franciscajoya@hotmail.com",13,22,1,57768
"1114","SACHICA","EVOQUE HOTEL BOUTIQUE","HOTEL","KILOMETRO 1 VIA SACHICA - SUTAMARCHAN","joaquincastro13_@hotmail.com",12,16,4,64978
"1120","COMBITA","HOTEL LA POSADA DE BACHUE","HOTEL","CALLE 4 N°5 20","nancyesperanzahernandez2020@gmail.com",9,20,1,59561
"1121","TUNJA","ARISTO GOLD HOTEL","HOTEL","AVENIDA UNIVERSITARIA 38 78","hotelaristogold@gmail.com",33,38,1,58010
"1125","AQUITANIA (PUEBLO VIEJO)","HOTEL CIUDAD DE LAS AGUAS","HOTEL","CR 7 7 43","omairarosas2010@hotmail.com",16,41,1,54803
"1126","SAMACA","HOTEL Y PARQUEADERO LA SEXTA","HOTEL","CARRERA 6 3 30","samaelvargas91@gmail.com",12,16,2,56579
"1134","DUITAMA","LA GULUPERA GRANJA ORGANICA","HOTEL","VDA LA PRADERA SECTOR LA ESPERANZA","danimejicon98@gmail.com",8,30,1,47428
"1140","MONGUI","HOSPEDAJE DE MONGUI","HOTEL","CL 5 4 68","jaimegomez64@gmail.com",2,4,1,42599
"1175","PAEZ","CASA BLANCA UPIA","HOTEL","CALLE 3  2-35","comcelpaez@gmail.com",15,17,1,50397
"1178","VILLA DE LEYVA","HOTEL CAMPESTRE CORDILLERA DE LOS ANDES","HOTEL","VEREDA ROBLE BAJO FINCA LAS VUELTAS","daniloflorez1109@gmail.com",18,20,3,53109
"1181","PUERTO BOYACA","HOTEL CONTINENTAL.M","HOTEL","CR 5 NO 14 84","marcelaperez_94@live.com",10,16,1,49847
"1183","SOATA","HOTEL INTERNACIONAL DE SOATA","HOTEL","CR 5 7 36","uzaque2020@gmail.com",30,55,4,51439
"1187","SOGAMOSO","HOTEL ORION","HOTEL","CL 13 13 12","hotelorionsogamoso1@hotmail.com",7,9,1,48393
"1191","DUITAMA","HOTEL SPA LA COLONIA","HOTEL","KM 3 VIA DUITAMA PAIPA","hotellacoloniaduitama@gmail.com",24,40,1,50271
"1193","SOATA","UZAQUE","HOTEL","KM 1 VIA SOATA DUITAMA","marthailo3@gmail.com",24,12,2,59187
"1203","VILLA DE LEYVA","HOTEL BOUTIQUE Y SPA BAHIA OLIVO","HOTEL","AVENIDA PERIMETRAL 10-40","hotelbahiaolivo@gmail.com",25,30,4,53438
"1207","CUITIVA","HOTEL EL CAMINO REAL","HOTEL","KM 20 VIA SOGAMOSO AQUITANIA","mauricioefigueroa@yahoo.com",19,40,1,44312
"1212","TURMEQUE","LEGENDD CASAGRANDE HOTEL","HOTEL","CARRERA 4 3 - 51","hcastelblanco@gmail.com",6,10,1,42587
"1228","VILLA DE LEYVA","ALOJAMIENTO JAW","HOTEL","CL 14 7 35","alojamientojaw@gmail.com",6,6,1,58137
"1232","VILLA DE LEYVA","HOTEL VILLA LUNA","HOTEL","TRANSVERSAL 10   7  63 INTERIOR","jalabago@hotmail.com",18,38,1,51603
"1238","SOGAMOSO","HOTEL MASTER","HOTEL","CL 11 16 86","hotelmaster01@gmail.com",7,8,2,60125
"1245","RAMIRIQUI","HOTEL RAMIRIQUI PLAZA","HOTEL","CARRERA 7 7 - 50","camilo.avila94@gmail.com",9,14,1,43580
"1247","TINJACA","HOTEL EL ZAGUAN DE LA RUECA","HOTEL","CARRERA 2  4-34","uyis.sierra@hotmail.com",15,25,1,44307
"1250","SACHICA","HOTEL VILLA ALEGRIA","HOTEL","CARRERA 6 1 74","pato.0408@hotmail.com",22,45,1,44588
"1262","GUATEQUE","HOTEL VILLA HOTEL","HOTEL","CALLE 10  8-11","sandramorar42@gmail.com",19,22,1,56775
"1278","MIRAFLORES","HOTEL BOCHICA MIRAFLORES","HOTEL","CALLE 8  6-05","jehc99@gmail.com",8,8,1,57142
"1296","VILLA DE LEYVA","MARGARITAS DE LA VILLA VDL","HOTEL","CALLE 9  11  42  INTERIOR 2","margaritasvilla2019@gmail.com",5,5,1,61849
"1297","QUIPAMA","HOTEL LAS CABAÑAS QUIPAMA","HOTEL","CARRERA 9 11 23","valentinamoron020@gmail.com",7,9,1,54491
"1298","QUIPAMA","HOTEL M&M","HOTEL","CLL 9A 7-11","rosmehen1964@gmail.com",6,8,1,47774
"1304","TUNJA","HOTEL Y SPA CASA CRISTAL","HOTEL","TRANSVERSAL 3  60A-123","patriciamunoz1973@hotmail.com",1,12,2,47998
"1307","PAIPA","HOTEL SAN MARCOS PAIPA","HOTEL","CL 24 16 17","coordinacion@hotelsanmarcospaipa.com",32,38,8,72018
"1322","TUNJA","BOYACA VIP SPA","HOTEL","CARRERA 6 59 51 AVENIDA NORTE","vipavaro@hotmail.com",23,33,1,56555
"1324","PAIPA","HOTEL DOBLE 3","HOTEL","CL 23 23 A 09","reservas@hoteldoble3.com",13,13,1,46341
"1350","SACHICA","HOTEL VILLA LUISA SACHICA","HOTEL","CALLE 6 1 33 INT 5","hotelvillaluisa@hotmail.com",20,50,1,56885
"1354","PUERTO BOYACA","RESTAURANTE Y HOSPEDAJE EL RANCHO DE SOFIA","HOTEL","VEREDA KILOMETRO DOS Y MEDIO","oscar2750gonzalez@gmail.com",8,10,1,59333
"1386","SUTATENZA","HOTEL VILLA DE LA ESPERANZA","HOTEL","CALLE 2 2 14","liden.alfonso@hotmail.com",23,50,1,52588
"1387","VILLA DE LEYVA","HOSPEDERIA VILLA PALVA","HOTEL","CARRERA 9A N? 7-37","hospederiavillapalva@gmail.com",10,18,1,53973
"1409","SOTAQUIRA","HOTEL Y PARQUEADERO EL TRANSPORTADOR","HOTEL","VDA BOSIGAS NORTE KM 27 VIA TUNJA-PAIPA","saritame_16@hotmail.com",7,14,1,60753
"1410","GUICAN","LA CUCHUMBA HOTEL CAMPESTRE","HOTEL","FINCA EL MIRADOR","claudiacobla@yahoo.com",9,17,1,61014
"1414","CUCAITA","HOTEL CAMPESTRE EL NOPAL","HOTEL","SECTOR EL BOQUERON","hotelcampestreruralelnopal@gmail.com",18,18,1,55211
"1419","SOGAMOSO","HOTEL PRESTIGIO JC","HOTEL","CR 13 12 76","hotelprestigiojc@gmail.com",24,52,5,51446
"1447","VILLA DE LEYVA","HOTEL CASA PROVENZAL SAS","HOTEL","CARRERA 11 19 - 13","luzmarina_laser@hotmail.com",13,29,1,58527
"1503","SANTANA","CAFETERIA Y HOTEL EL PANELERO","HOTEL","CALLE 1    2    42","hotelpanelero@gmail.com",16,16,1,51591
"1516","SOGAMOSO","HOTEL SANTA MARTA DE SOGAMOSO","HOTEL","CR 18 11 A 15","mayesava1@hotmail.com",8,10,1,49825
"1532","TUNJA","HOTEL SUYO","HOTEL","CARRERA 7 17-23","gaviriayuliana122@gmail.com",10,20,1,47982
"1546","SAN PABLO BORBUR","ALBANIA","HOTEL","FINCA PORVENIR","albaniahotelboutique@gmail.com",3,9,1,46886
"1560","CHIQUINQUIRA","EL HOTEL GRAN CENTRAL","HOTEL","CARRERA 10 17 18","hotelgrancentral2021@gmail.com",15,17,1,50436
"1563","TUNJA","HOTEL BOUTIQUE SANTUARIO","HOTEL","CARRERA 14 16-10","alexanderm_95@hotmail.com",18,22,1,60755
"1573","SAMACA","HOTEL BOIACA","HOTEL","CALLE 6 13 109","hotelboiaca@gmail.com",12,14,1,47290
"1591","MACANAL","HOTEL LA ESMERALDA MACANAL","HOTEL","CARRERA 5  2A   54","leonorvallejo39@gmail.com",11,12,1,53371
"1615","PUERTO BOYACA","HOTEL EL TESORO PARA DESCANSAR PUERTO BOYACA","HOTEL","CR 3 10 44","hoteleltesoropuerto@gmail.com",19,24,1,46044
"1619","JENESANO","HOTEL RESTAURANTE LA QUINTA JENESANO","HOTEL","VEREDA DULCEYES KILOMETRO 2 VIA JENESANO-TUNJA","quintala989@gmail.com",10,11,1,45856
"1623","MONGUI","HOTEL PORTON DE OCETA","HOTEL","CL 5 1 68","hotelportondeoceta@yahoo.es",5,10,1,56372
"1629","OTANCHE","HOTEL LOS ANDES GS","HOTEL","CARRERA 7 4 54","losandeshotelgs@gmail.com",11,22,1,48270
"1642","TUNJA","HOSPEDAJE DINASTIA","HOTEL","DIAGONAL 67 No. 1 03","alejamolina251986@gmail.com",5,5,1,44768
"1646","SAN MATEO","HOTEL PRIMAVERA SAN MATEO 1","HOTEL","CR 3 5 62","hotelprimavera.sm@gmail.com",7,12,1,43161
"1658","TUNJA","HOTEL COLONIAL EL BOSQUE DORADO","HOTEL","DIAGONAL 27 1E 25","julianmotavitalopez@gmail.com",12,13,1,60622
"1665","VILLA DE LEYVA","HOTEL ABAHUNZA VILLA DE LEYVA","HOTEL","CALLE  8   10  96","rosovar@gmail.com",40,100,1,53367
"1684","VILLA DE LEYVA","CASA HOTEL SANTA ELENA BOUTIQUE","HOTEL","CARRERA 10 4 78","consusie@hotmail.com",8,16,1,44355
"1688","TIBASOSA","POSADA LA MARIÑERA","HOTEL","CR 9 4 54","gerenteserviciolfch@gmail.com",10,13,3,57296
"1695","TUNJA","ASC PARQUE SANTANDER TUNJA","HOTEL","AV COLON 23 57","contabilidadasc5@gmail.com",10,13,3,56805
"1703","VILLA DE LEYVA","HOTEL PLAZA MAYOR VILLA DE LEYVA","HOTEL","CARRERA 10   12 31","plazamayorvdl@gmail.com",32,36,23,102394
"1707","VILLA DE LEYVA","MARIA BONITA  HOTEL","HOTEL","CALLE 18  10-36","hotelmariabonita2022@gmail.com",16,27,2,58060
"1714","MONIQUIRA","CABAÑAS SAN LUIS","HOTEL","CARRERA 7 30 16","luis109gomez@gmail.com",13,78,1,53355
"1730","GUATEQUE","EL GRAN HOTEL CENTRAL","HOTEL","CALLE  11  7  48","anpicu09@gmail.com",27,41,1,56426
"1737","GARAGOA","HOTEL ECLIPSE J.J.","HOTEL","CALLE 13 NO.  11A   26","juanjosevallejo155@gmail.com",15,17,1,57049
"1742","CHIQUINQUIRA","HOTEL PLAZA EL BOSQUE","HOTEL","CARRERA 9 3B 08 12 14","plazaelbosquehotel@gmail.com",14,14,1,49628
"1746","SOGAMOSO","HOTEL EL LAGO SOGAMOSO","HOTEL","CLL 11 A Nro. 17 30","avellanedalopezkarenlizeth@gmail.com",6,6,1,47760
"1761","PUERTO BOYACA","HOTEL JESTOR","HOTEL","CR 2 13 13","variedadesjestor@hotmail.com",11,14,1,52634
"1762","TUNJA","FLORENTINA HOTEL","HOTEL","CARRERA 10 24 45 INTERIOR 1","maleja1219@gmail.com",8,11,1,47193
"1763","RAQUIRA","HOTEL TOROGUA EL BALCON DE LOS ABUELOS","HOTEL","CALLE 5 CARRERA 4","hernan-sierra2011@hotmail.com",23,42,1,58636
"1785","CUITIVA","ROCAMONTI  HOTEL","HOTEL","VDA BUITREROS-CUITIVA","rocamontihotel@gmail.com",12,30,1,50107
"1793","CHIQUINQUIRA","HOTEL DUBANCHU´S","HOTEL","CALLE 4B 7 132","cristina23498307@yahoo.com",13,20,1,43453
"1794","VILLA DE LEYVA","HOTEL CHEF RICARDO","HOTEL","CARRERA 9   4 81","hotelchefricardo@gmail.com",1,36,2,63075
"1803","PAIPA","HOTEL ROOK INN","HOTEL","CR 19 20 08 PISO 2","hotelrookinn@gmail.com",7,15,1,46344
"1822","VILLA DE LEYVA","CASA ALCESTRE","HOTEL","CR 10 13 07 CENTRO","igsahlsas@gmail.com",28,39,8,64113
"1826","PAZ DE RIO","HOTEL PAZ DE RIO","HOTEL","CR 2 9 41 47","elsapatriciavelandia@gmail.com",8,14,1,54513
"1827","ARCABUCO","JULXIOMA","HOTEL","AVENIDA 3 4-81","claudiabautista0703@gmail.com",9,11,3,58568
"1832","SANTA ROSA DE VITERBO","HOTEL VILLA CENTRAL","HOTEL","CR 5 8 19","jorbascris@gmail.com",8,10,1,48565
"1838","PUERTO BOYACA","HOTEL SAN DIEGO JS","HOTEL","CL 13 3 30","jaivercardona151187@gmail.com",14,15,4,50778
"1844","CHITARAQUE","HOTEL Y RESTAURANTE PUERTO AZUL","HOTEL","SECTOR GUAYACAN Y PEÑA EL MARARAY","nochedeluces1@gmail.com",24,32,1,60293
"1860","DUITAMA","HOTEL CENTRO DE LAS AMERICAS","HOTEL","CR 18 10 47","mayra.cely.rincon@gmail.com",25,40,1,53982
"1863","VILLA DE LEYVA","HOTEL LAURELES VDL","HOTEL","CL 12 10 61","hotellaurelesvilla@gmail.com",11,16,1,56992
"1869","SANTANA","HOTEL Y RESTAURANTE EL PANELERO","HOTEL","CARRERA 2 2-50","cristianagarcia75@hotmail.com",5,11,1,60379
"1883","TUNJA","HOTEL ANGELES J&A","HOTEL","CL 13 2 126","nelsonfparada@gmail.com",12,22,1,52575
"1892","TUNJA","CLUB CAMPESTRE MONTE VERDE","HOTEL","KILOMETRO 5 VIA TUNJA DUITAMA","monteverdeclubcampestre@gmail.com",16,28,4,55440
"1894","AQUITANIA (PUEBLO VIEJO)","HOTEL LAGO AZUL AQUITANIA","HOTEL","CL 4 8 60","yasminsita79@hotmail.com",4,10,1,43316
"1901","VILLA DE LEYVA","CASA DE CAMPO & SPA VDL","HOTEL","KILOMETRO 3.5 VIA ALTO DE LOS MIGUELES","paoodel1414@gmail.com",16,25,1,59087
"1902","VILLA DE LEYVA","CASA CAMPO VDL","HOTEL","KILOMETRO 3.5 VIA ALTO DE LOS MIGUELES","julisyoki@gmail.com",16,25,1,52208
"1915","CHIQUINQUIRA","HOTEL BALCONES DE MARIA","HOTEL","CR 9 14 71","gloriaemil12345@gmail.com",13,15,1,46200
"1939","TIBASOSA","CASA LA HUERTA HOTEL BOUTIQUE","HOTEL","CL 2 6 A 51","bistreasas@gmail.com",10,24,1,49517
"1940","TUNJA","HOTEL GOLD FENIX","HOTEL","CARRERA 11 15A-13","reservashotelgoldfenix@gmail.com",5,5,1,46147
"1949","SOGAMOSO","HOTEL DELMAR´C","HOTEL","CL 15 11 51","juliancalixtopr@gmail.com",35,35,1,51185
"1962","DUITAMA","HOTEL CACIQUE DUITAMA","HOTEL","CR 31 8 55 57","hotelcaciqueduitama@gmail.com",10,20,1,46830
"1976","DUITAMA","ZAFRA HOTEL","HOTEL","CL 9 25 54","juanpispalencia2015@gmail.com",6,8,1,44374
"1986","RAMIRIQUI","HOTEL LA LEONA RAMIRIQUI","HOTEL","CALLE 8  6-52 PISO  3","leonquitian20@gmail.com",11,12,1,43449
"1988","DUITAMA","HOTEL SAN JOSE DUITAMA","HOTEL","CR 24 20 06","ovani-103@hotmail.com",20,40,1,55820
"2001","SOGAMOSO","HOTEL SD DE LA 59","HOTEL","DG 59 11 A 56","edssandiegodela59@hotmail.com",15,18,1,47739
"2020","GACHANTIVA","SAN ALEJO GACHANTIVA","HOTEL","CALLE 5  5 17","hotelsanalejo@hotmail.com",8,14,1,44988
"2054","TUNJA","CASA HOTEL CALLE REAL TUNJA","HOTEL","CL 19 10 64","albeacastel@hotmail.com",8,14,1,61449
"2057","PAUNA","HOTEL Y CENTRO DE RECREACION BELLA VISTA","HOTEL","VRD MORAL SEC LOMA ALTA KM 2 VIA PUESTO DE SALUD","armandobonillap@hotmail.com",8,14,15,78210
"2066","RAQUIRA","CASONA 1865 HOTEL BOUTIQUE","HOTEL","CARRERA  4   1  61","judithroi@yahoo.com",11,25,3,54036
"2087","NOBSA","HOTEL BONZA","HOTEL","KM 14 VIA DUITAMA BELENCITO","juliocastillov@hotmail.com",16,16,1,54971
"2171","MONIQUIRA","HOSPEDERIA Y RESTAURANTE CASA BLANCA JM","HOTEL","CALLE  19 4 66 PARQUE BOLIVAR","julianvillamilcadena@gmail.com",11,16,1,60326
"2201","IZA","HOSTELERIA EL SAUZALITO","HOTEL","AGUA CALIENTE HOSTERIA","hosteriaelsausalitoiza@gmail.com",7,28,1,46333
"2205","MIRAFLORES","HOTEL SANTA BARBARA MIRAFLORES","HOTEL","CALLE  3A  4 - 18","santiago.caro.1998@gmail.com",6,7,1,52960
"2280","MIRAFLORES","LA CABAÑA MIRAFLORES","HOTEL","KILOMETRO 5 VIA PRINCIPAL MIRAFLORES TUNJA","lacabanamiraflores@gmail.com",6,10,1,56401
"2283","SOGAMOSO","HOTEL SUE MUISCA","HOTEL","CL 11 9 63","yorher290769@gmail.com",8,15,1,49945
"2295","RAQUIRA","BETANIA RESTAURANTE  HOTEL","HOTEL","CARRERA 3 3 36","madamupi09@gmail.com",3,4,1,43880
"2309","VILLA DE LEYVA","HOTEL LA VILLA DE DON BERNES","HOTEL","CL 6 7 21","dalevema12@gmail.com",4,4,1,54698
"2365","TINJACA","HOTEL M TINJACA","HOTEL","SD SUTAMARCHAN FRENTE AL DIVINO NIÑO","ing.mlc2016@gmail.com",7,18,1,42050
"2397","NUEVO COLON","HOTEL SANTA CLARA NUEVO COLON","HOTEL","CARRERA 3 4 79","creadiherly@gmail.com",10,28,1,46210
"2406","GUICAN","SISUMA ECOLODGE","HOTEL","SC MALPASO","diegoblanpa09@gmail.com",1,2,1,55580
"2417","TUNJA","HOTEL BICENTENARIO HUGOLINO","HOTEL","TV 11 29 04","gersoncontreras863@gmail.com",10,10,1,59324
"2431","MONIQUIRA","HOTEL CAMPESTRE LA FUENTE 1","HOTEL","vereda potrero grande sector resguardo","hotelcampestrelafuente@gmail.com",18,35,1,57994
"2440","PUERTO BOYACA","HOTEL MARIIOS","HOTEL","CR 4 12 50","castrillont85@hotmail.com",14,14,1,44700
"2450","EL COCUY","MIRADERO EL CAÑAVERAL","HOTEL","VDA EL CAÑAVERAL SEC LA PLAYA FCA EL MIRADERO","hospedajecch@gmail.com",5,13,1,49750
"2478","DUITAMA","FURATENA HOTEL","HOTEL","CL 20 22 54","ricardodiazduitama@gmail.com",35,65,1,57769
"2489","VILLA DE LEYVA","HOTEL PIEDRA DE LUNA","HOTEL","CLL 14 N 7 51","alejaramosc18@gmail.com",7,20,1,55858
"2505","CHINAVITA","HOTEL PRIMAVERA RP","HOTEL","CARRERA 4   4   64","saydapabon@hotmail.com",25,42,1,53885
"2516","SAN JOSE DE PARE","HOTEL KAROL","HOTEL","VRD SAN ISIDRO BAJO","clemencias394@gmail.com",11,15,1,44477
"2517","SACHICA","HOTEL DON AQUILES","HOTEL","CALLE 3 N 1 28","wcs297@gmail.com",12,30,1,53102
"2532","TUNJA","HOTEL POSADA DE SANTA ELENA","HOTEL","CARRERA 11A 23-55","hotelessantaelena@hotmail.com",8,11,3,54988
"2564","PUERTO BOYACA","LA POSADA HOTEL","HOTEL","KM 25 CORREGIMIENTO PUERTO GUTIERREZ BOGOTA MEDELLIN","ocamilovalencia30@gmail.com",40,56,2,59323
"2593","TURMEQUE","HOTEL CACIQUE  TURMEQUE","HOTEL","CL 4 4 78","hotelcaciqueturmeque@gmail.com",8,15,2,44522
"2601","TUNJA","HOTEL EL CONSUELO","HOTEL","CARRERA 7  15-63","jaimegoyes2@hotmail.com",6,8,1,45903
"2644","VILLA DE LEYVA","HOTEL VILLA PAZ VILLA DE LEYVA","HOTEL","CARRERA 11A 12 27","hotelvillapazvleyva@gmail.com",8,21,1,59625
"2660","DUITAMA","HOTEL ECLIPSE REAL","HOTEL","CR 35 2 W 165","vipeto07@hotmail.com",5,5,1,44196
"2673","GUICAN","HOTEL CASA BLANCA MIRADOR GUICAN DE LA SIERRA","HOTEL","CR 4 4 64","jorgealiriomoraa18@gmail.com",5,30,1,61371
"2682","PUERTO BOYACA","HOTEL MONACO MA","HOTEL","CR 4 28 10","hotelmonacoboyaca@gmail.com",15,18,1,49704
"2687","VILLA DE LEYVA","HOTEL CEMANDY BY MA","HOTEL","CR 8 6 163","cemandysas@gmail.com",16,32,4,65172
"2693","SOGAMOSO","HOTEL S & C","HOTEL","CL 11 Nro. 16 -36","jainape20@gmail.com",16,19,2,61748
"2707","DUITAMA","HOTEL PARAISO TROPICAL CENTER","HOTEL","CR 14 12 63","hotelparaisotropicalh@gmail.com",60,60,1,51782
"2708","SOGAMOSO","HOTEL FLORIDA","HOTEL","CL 11 13 26","hotelfloridasogamoso@hotmail.com",14,18,1,56362
"2713","PUERTO BOYACA","HOTEL TEKAL DEL RIO","HOTEL","VRD CALDERON RUTA DEL SOL KM 4","tekaldelriohotel@gmail.com",22,26,2,53734
"2721","TUNJA","HOTEL IN RENACER","HOTEL","TV 15 24 - 62","palaciosjaime.227@gmail.com",5,8,1,61774
"2723","VILLA DE LEYVA","HOTEL LA POSADA DE SAN ANTONIO","HOTEL","CARRERA 8  11-80","padelgo@hotmail.com",28,77,8,57295
"2744","PAUNA","HOTEL BELLA ROCA","HOTEL","CALLE 6 8 36","nanagarfield@hotmail.com",5,12,1,45153
"2761","PUERTO BOYACA","HOTEL J.L","HOTEL","CR 5 11 33 P 2","vargasalfredo827@gmail.com",14,28,1,57707
"2793","IZA","HOTEL MAXIRUMAVILLA TAMAUKA","HOTEL","CR 4 5 38","vmaxiruma.htamauka@gmail.com",15,38,1,52844
"2795","JENESANO","HOTEL BRISAS DEL RIO EC","HOTEL","CRA 2 NO. 12 - 15 DIAGONAL ESTADIO","lizbellita.ct@gmail.com",5,9,1,50331
"2797","DUITAMA","HOTEL LAS ORQUIDEAS","HOTEL","CR 35 11 81","hotel_las_orquideas30@hotmail.com",17,60,1,61978
"2804","CUBARA","WHITE  HOUSE","HOTEL","DIAGONAL 1 NRO.  2 -91 BARRIO JARDIN","ojulianacarolina@gmail.com",12,16,1,47113
"2817","SANTANA","HOTEL BJ","HOTEL","CR 4 3 33","betotp123juana@gmail.com",7,11,1,52158
